timestamp,engagement,boredom,confusion,frustration,samples
2026-05-11T14:27:57Z,0.755230,0.326417,0.156723,0.214210,30,10,courseware.pdf
2026-05-11T14:28:02Z,0.611992,0.516686,0.154466,0.270754,31,1,courseware.pdf
2026-05-11T14:28:07Z,0.540555,0.522757,0.106244,0.302315,32,2,courseware.pdf
2026-05-11T14:28:12Z,0.651980,0.319896,0.109091,0.208203,31,7,courseware.pdf
2026-05-11T14:28:17Z,0.669429,0.424749,0.153219,0.208505,31,7,courseware.pdf
2026-05-11T14:28:22Z,0.643253,0.439862,0.189946,0.258499,32,7,courseware.pdf
2026-05-11T14:29:40Z,0.827387,0.197527,0.166586,0.192534,20,9,courseware.pdf
2026-05-11T14:29:45Z,0.750391,0.254673,0.172421,0.189049,30,1,courseware.pdf
2026-05-11T14:29:50Z,0.551452,0.523909,0.139610,0.317978,30,1,courseware.pdf
2026-05-11T14:29:55Z,0.528793,0.539515,0.118155,0.322021,31,2,courseware.pdf
2026-05-11T14:30:01Z,0.551076,0.533378,0.128939,0.396914,32,3,courseware.pdf
2026-05-11T14:30:06Z,0.452616,0.732353,0.123327,0.361720,31,5,courseware.pdf
2026-05-11T14:30:11Z,0.521027,0.820398,0.138781,0.481487,31,5,courseware.pdf
2026-05-11T14:30:16Z,0.567525,0.721076,0.144254,0.363773,33,5,courseware.pdf
