timestamp,engagement,boredom,confusion,frustration,samples,pdf_page,pdf_name
2026-05-11T16:12:51Z,0.616052,0.698481,0.127119,0.437575,21,10,courseware.pdf
2026-05-11T16:12:56Z,0.695157,0.663526,0.137024,0.414493,41,10,courseware.pdf
2026-05-11T16:13:01Z,0.670964,0.662822,0.116554,0.347533,47,10,courseware.pdf
2026-05-11T16:13:06Z,0.633585,0.650960,0.115039,0.344780,42,10,courseware.pdf
2026-05-11T16:13:11Z,0.687187,0.613501,0.129988,0.398785,33,10,courseware.pdf
2026-05-11T16:13:59Z,0.463118,0.803745,0.140077,0.628018,22,10,courseware.pdf
2026-05-11T16:14:04Z,0.582720,0.773151,0.128095,0.648293,33,10,courseware.pdf
2026-05-11T16:14:10Z,0.613166,0.748762,0.128849,0.598471,34,10,courseware.pdf
2026-05-11T16:14:15Z,0.546220,0.749269,0.124989,0.631403,34,10,courseware.pdf
2026-05-11T16:14:20Z,0.591102,0.702619,0.118499,0.583451,34,10,courseware.pdf
2026-05-11T16:14:25Z,0.476530,0.714411,0.189210,0.679833,33,10,courseware.pdf
2026-05-11T16:14:30Z,0.375586,0.806443,0.226686,0.729554,33,10,courseware.pdf
2026-05-11T16:14:35Z,0.573725,0.781882,0.118946,0.426356,42,10,courseware.pdf
2026-05-11T16:14:40Z,0.550670,0.794882,0.114178,0.460428,46,10,courseware.pdf
2026-05-11T16:14:45Z,0.587730,0.766397,0.130646,0.567099,45,10,courseware.pdf
2026-05-11T16:14:50Z,0.517472,0.737599,0.155111,0.824942,45,10,courseware.pdf
2026-05-11T16:14:55Z,0.582864,0.720033,0.152467,0.787870,33,10,courseware.pdf
